correction,word
already,alreayd
also,alse
else,alse
also,alsot
always,alsways
Atlanta,Altanta
alternative,altenative
altered,alterated
altarpiece,alterpiece
although,althought
although,altough
aluminium,aluminum
allusion,alusion
illusion,alusion
alluvial,aluvial
always,alwasy
always,alwyas
amateur,amatuer
armature,amature
amateur,amature
ambience,ambiance
ambient,ambiant
ambiance,ambience
ambiguous,ambigious
American,Ameircan
amenities,amenites
America,Amercia
American,Amercian
amendment,amendmant
make,amke
making,amking
amass,ammass
amend,ammend
amended,ammended
amendment,ammendment
amenity,ammenity
amount,ammount
amnesty,amnisty
among,amonst
amongst,amonst
among,amoung
amongst,amoungst
amphitheater,ampitheater
amphitheatre,ampitheatre
among,amung
Anaheim,Anahiem
analogous,analagous
analytic,analitic
analogous,analogeous
analog,analogue
analysis,anaylsis
and,anbd
ancestor,ancester
ancestral,ancesteral
ancillary,ancilliary
and,andd
androgynous,androgenous
androgyny,androgeny
annihilate,anihilate
annihilation,anihilation
anniversary,aniversary
ankle,ankel
and,annd
anoint,annoint
announce,annonce
announcement,annoncement
announce,annouce
announced,annouced
announcement,annoucement
annually,annualy
annulled,annuled
anomalies,anomolies
anomalous,anomolous
anomaly,anomoly
anonymity,anonimity
announce,anounce
announcement,anouncement
nasalisation,ansalisation
nasalization,ansalization
aunt,ant
Antarctic,Antartic
anthropomorphization,anthromorphization
anthropologist,anthropolgist
anthropology,anthropolgy
anthropology,antropology
anal,anual
annual,anual
annually,anually
annulled,anulled
anywhere,anyhwere
anything,anytying
April,Aoril
alpaca,apalca
appalled,apalled
apparatus,aparatus
apparent,aparent
apparently,aparently
appear,apear
appearance,apearance
appeared,apeared
appearing,apearing
Apennines,Apenines
April,Apirl
application,aplication
applied,aplied
appoint,apoint
apologetics,apolegetics
apologize,apoligize
upon,apon
apron,apon
apparent,apparant
apparently,apparantly
apart,appart
apartment,appartmant
apartment,appartment
appealing,appealling
appalling,appealling
appearance,appearence
Apennines,Appenines
appearance,apperance
application,applicaiton
applications,applicaitons
applied,applyed
apologies,appologies
apologize,appologize
apology,appology
approach,apporach
appreciate,appretiate
appreciate,apprieciate
approaches,approachs
approach,approch
appropriate,appropiate
approximately,approximatley
approximately,approximatly
approximately,approximently
approximately,approximitely
April,april
approach,aproach
approximately,aproximately
approximation,aproximation
aqueduct,aquaduct
acquaintance,aquaintance
acquainted,aquainted
Aquarius,aquarius
acquaintance,aquiantance
aquifer,aquifier
acquire,aquire
acquired,aquired
acquiring,aquiring
acquisition,aquisition
acquitted,aquitted
arranged,aranged
arrangement,arangement
arbitrarily,arbitarily
arbitrary,arbitary
archaeology,archaoelogy
archeology,archaoelogy
archaeology,archaology
archeology,archaology
archeologist,archeaologist
archaeologist,archeaologist
archeologists,archeaologists
archaeologists,archeaologists
architect,archetect
architects,archetects
architectural,archetectural
architecturally,archetecturally
architecture,archetecture
Archimedean,Archimedian
architecture,architechture
architectural,architectual
achievement,archivement
arguably,argubly
arguably,argueably
arguably,arguebly
argument,arguement
Aries,aries
arose,arised
arrive,arive
arrange,arrage
arrangement,arragement
arrangement,arrangment
arrangement,arrengement
arrangements,arrengements
around,arround
artifact,artefact
article,artical
article,artice
article,articel
artificial,artifical
artificially,artifically
artificially,artificialy
article,artilce
artillery,artillary
ascendency,ascendancy
ascend,asend
ascetic,asetic
asphalt,ashphalt
assign,asign
assimilate,asimilate
asks,askes
also,aslo
associate,asociate
associated,asociated
association,asociation
absorbed,asorbed
aspirations,asperations
assassin,assasin
assassinate,assasinate
assassinated,assasinated
assassinates,assasinates
assassination,assasination
assassinations,assasinations
assassins,assasins
associate,asscoiate
assemble,assemple
assertion,assertation
aside,asside
assimilated,assimiliated
assassinate,assinate
assassination,assination
assistance,assisstance
assistance,assitance
assistant,assitant
association,assocation
associate,assoicate
associated,assoicated
associates,assoicates
assault,assualt
assume,assumme
asymmetric,assymetric
asymmetry,assymetry
asterisk,asterick
asterisk,asteriks
asteroid,asteriod
aesthetic,asthetic
esthetic,asthetic
aesthetical,asthetical
esthetical,asthetical
aesthetically,asthetically
esthetically,asthetically
astroid,astroid
asteroid,astroid
assume,asume
attempt,atempt
athlete,athelete
athletic,atheletic
athletic,atheltic
Athenian,Athenean
Athenians,Atheneans
atheist,athiest
athlete,athlethe
atmosphere,athmosphere
although,athough
attitude,atitude
altitude,atitude
athlete,atlethe
atmosphere,atomsphere
attractions,atractions
attribute,atribute
attributed,atributed
attributes,atributes
attracted,attacted
attached,attacted
attacked,attacted
attraction,attaction
attractive,attactive
attainder,attaindre
attained,attaindre
attach,attatch
attempt,attemp
attempt,attemt
attempted,attemted
attempting,attemting
attendance,attendence
attendant,attendent
attendants,attendents
attend,attened
attended,attened
attend,attent
attended,attented
attempt,attept
attitude,attitide
atone,attone
attorneys,attornies
attorney,attorny
audience,audeince
audience,audiance
Australia,austrailia
Australia,australia
Australian,australian
Australasia,Australiasia
author,auther
autobiographic,authobiographic
autobiography,authobiography
authoritative,authorative
authorities,authorites
authoritative,authoritive
autochthonous,autochtonous
autochthonous,autoctonous
author,autor
authority,autority
auxiliaries,auxillaries
auxiliary,auxillary
auxiliaries,auxilliaries
auxiliary,auxilliary
available,availabe
available,availiable
available,availible
available,avalable
avalanche,avalance
available,avaliable
available,avalible
aviation,avation
averaged,averageed
average,averege
awoke,awaked
awareness,awarness
awesome,awsome
away,awya
ax,axe
became,bacame
backpedal,backpeddle
bankruptcy,backruptcy
background,backround
became,bacome
become,bacome
badminton,badmiton
badminton,badmitton
based,baised
biased,baised
back,bakc
balance,balence
bailout,baleout
ballast,ballest
bandwidth,bandwith
bankruptcy,bankrupcy
banana,bannana
board,baord
about,baout
bout,baout
barbiturate,barbituate
Barnsley,Barnsely
basically,basicaly
basically,basicly
bassist,basist
battalion,batallion
balk,bauk
back,bcak
became,beacame
because,beacause
because,beacuse
bared,beared
bearded,beared
bore,beared
borne,beared
barely,bearly
bestial,beastial
bestiality,beastiality
beat,beated
beaten,beated
beautiful,beatiful
bureaucracy,beaurocracy
bureaucrat,beaurocrat
beautiful,beautifull
beautifully,beautifuly
beautiful,beautyfull
became,becamae
became,becamed
because,becase
because,becasue
became,becomed
becoming,becomeing
becoming,becomming
because,becouse
because,becuase
been,beeen
being,beeing
between,beetween
between,beetwen
before,befoer
before,befor
begging,beggin
begin,beggin
beginner,begginer
beginning,beggining
beginning,begginning
beginning,begining
beginning,beginnig
behavior,behavour
behaviour,behavour
begin,beign
being,beign
begins,beigns
beings,beigns
Beijing,Bejing
beleaguered,beleagured
believe,beleave
belief,beleif
believe,beleive
Belgium,Belguim
believable,believeable
believe,belive
believer,beliver
believing,beliving
bellwether,bellweather
beneficial,benefical
beneficiary,beneficary
Benghazi,Bengahzi
beneficial,benificial
benefit,benifit
benefits,benifits
benefit,bennefit
before,beofer
before,beofre
bureau,bereau
bergamot,bergamont
Bernoulli,Bernouilli
besiege,beseige
berserk,beserk
beset,besetted
between,beteen
between,bettween
between,betweeen
between,betwen
biannual,bianual
biennial,bianual
being,bieng
bilaterally,bilateraly
bibliography,bilbliography
bound,binded
binomial,binominal
binominal,binominal
bit,bited
bitten,biten
building,biulding
blame,blaim
blamed,blaimed
blatant,blatent
bled,bleeded
Blitzkrieg,Blitzkreig
blossom,bloosom
blossom,blossem
blew,blowed
blown,blowed
bout,boaut
boat,boaut
about,boaut
bodily,bodly
boundary,bondary
Bonanno,Bonnano
boos,boo's
boarded,borded
bordered,borded
bother,borther
brother,borther
booths,boths
both,boths
boundaries,boundries
boundary,boundry
buoyancy,bouyancy
buoyant,bouyant
buoyant,boyant
boyfriend,boyfreind
breakdown,brakedown
brackish,brakish
brought,brang
Brazilian,Brasillian
Brazilian,Brazillian
beaked,breaked
broke,breaked
broken,breaked
breakthrough,breakthough
bred,breeded
brief,breif
briefcase,breifcase
briefly,breifly
bribery,bribary
Brigadier,Brigandier
brilliant,briliant
brilliance,brillance
brought,bringed
Britain,Britan
Britain,Britian
Britain,Brittain
British,Brittish
broadly,broady
broadcast,brodcast
brought,broght
broke,broked
broken,broked
brought,brung
Brussels,Brussells
budget,buget
building,buiding
building,buidling
built,builded
building,buildng
building,builiding
business,buisness
building,bulding
building,buliding
bulletin,bulliten
burial,buriel
burin,buring
burning,buring
burying,buring
during,buring
burial,burrial
buried,burried
burying,burrying
business,busines
business,busness
business,bussines
business,bussiness
bought,buyed
bypass,byepass
cacophonous,cacaphonous
cacophony,cacaphony
caffeine,caffiene
calendar,calandar
calendar,calander
calender,calander
colander,calander
caliber,calibur
calibre,calibur
California,Califronia
Californian,Califronian
calligraphy,caligraphy
callused,calloused
calculate,caluclate
calculated,caluclated
calculate,caluculate
calculated,caluculated
calculate,calulate
calculated,calulated
Cambridge,Cambrige
camaraderie,cameraderie
camouflage,camoflage
campaign,campain
camaraderie,camraderie
Canadian,Canadaian
Canadian,Canadain
candidate,candadate
candidate,canidate
canoeing,canoing
canonical,cannonical
connotation,cannotation
connotations,cannotations
coast,caost
capability,caperbility
captivity,capitivity
capital,captial
capitalize,captialize
captain,captian
character,carachter
Caracas,carcas
carcass,carcas
caring,careing
charismatic,carismatic
Carmelite,Carmalite
carnivorous,carniverous
carriage,carraige
career,carrear
cared,carred
carried,carred
career,carreer
career,carrer
Caribbean,Carribbean
Caribbean,Carribean
caring,carring
carrying,carring
carrying,carryng
Carthaginian,Carthagian
cartographer,carthographer
cartilage,cartilege
cartilage,cartilidge
cartridge,cartrige
cassette,casette
caisson,casion
cassowary,cassawory
cassette,cassete
cassowary,cassowarry
cause,casue
caused,casued
causes,casues
causing,casuing
casualty,casulaty
categories,catagories
categorise,catagorise
categorize,catagorize
category,catagory
Catalina,Cataline
Catiline,Cataline
catalogue,catalouge
caught,catched
catches,catchs
category,catergory
category,cathegory
catholic,cathlic
caterpillar,catterpilar
cavalry,cavarly
Caesar,Ceasar
Celsius,Celcius
celebrate,celeberate
celebrities,celebrites
celebrate,celibrate
cemetery,cementary
cemetery,cementery
cemetery,cemetarey
cemeteries,cemetaries
cemetery,cemetary
cemetery,cemetry
census,cencus
censor,censur
censure,censur
centennial,centenial
central,centeral
centrally,centraly
calculate,caluclate
centrifugal,centrifical
century,centruy
centuries,centuties
century,centuty
certain,ceratin
keratin,ceratin
ceremonial,cerimonial
ceremonies,cerimonies
ceremonious,cerimonious
ceremony,cerimony
certainty,certainity
certain,certian
certified,certifed
cervical,cervial
serval,cervial
servile,cervial
challenge,challange
challenged,challanged
challenger,challanger
chamfered,chamferred
Champagne,Champange
change,chanage
changeable,changable
chaparral,chapparal
character,charachter
characters,charachters
characteristic,characterstic
character,charater
characterised,charaterized
characterized,charaterized
character,charcter
chairman,chariman
characteristics,charistics
Charlotte,Charolette
chase,chasr
chaser,chasr
Chhattisgarh,Chattisgarh
chief,cheif
chemical,chemcial
chemically,chemcially
chemistry,chemestry
chemically,chemicaly
checker,chequer
Chhattisgarh,Chhatisgarh
children,chidren
chieftain,chieftan
childbirth,childbird
children,childern
Chinese,Chineese
Christmas,Chrismas
chocolate,choclate
choice,choise
chooses,choosed
chose,choosed
chosen,choosed
chosen,choosen
chose,chosed
chosen,chosed
chooses,choses
choosing,chosing
chronic,chronical
chronicle,chronical
ceiling,cieling
Cincinnati,Cincinatti
Cincinnati,Cincinnatti
circuit,circiut
circuitous,circuituous
circumcised,circumcized
circuit,ciricuit
civilian,civillian
clear,claer
clearer,claerer
clearly,claerly
claims,claimes
claiming,claming
clamming,claming
classic,clasic
classical,clasical
classically,clasically
classically,classicaly
classified,classifed
claustrophobia,claustraphobia
clearance,cleareance
clearance,clearence
clear,clera
sclera,clera
clinical,clincial
clinically,clinicaly
closely,closley
coalition,coaltion
coefficient,coefficent
coerce,coerse
conform,coform
coincide,coinside
coincidence,coinsidence
collaboration,colaboration
collapse,colapse
collateral,colateral
cobalt,colbalt
collaboration,collaberation
collection,colleciton
collegiate,collegate
colleague,collegue
colleagues,collegues
colonnade,collonade
colonies,collonies
colony,collony
colossal,collosal
column,collum
column,collumn
colloquial,coloquial
colouration,coloration
coloration,colouration
colorless,colourless
commander,comander
commandeer,comander
commando,comando
commandos,comandos
comeback,comback
commemorate,comemmorate
commencement,comencement
commerce,comerce
commercially,comercially
commission,comision
commissioned,comisioned
commissioner,comisioner
commissioning,comisioning
commissions,comisions
commission,comission
commissioned,comissioned
commissioner,comissioner
commissioning,comissioning
commissions,comissions
committed,comited
committing,comiting
committee,comittee
committed,comitted
committing,comitting
commemorative,commemerative
commemorate,commemmorate
commemorate,commerate
commemorating,commerating
commemoration,commeration
commemorative,commerative
commercial,commerical
commercially,commerically
commercial,commericial
commercially,commericially
coming,comming
commission,commision
commissioned,commisioned
commissioner,commisioner
commissioning,commisioning
commissions,commisions
committed,commited
committee,commitee
committing,commiting
committee,committe
committees,committies
commitment,committment
committee,committy
commemorated,commmemorated
commonly,commongly
communication,communciation
communities,communites
communities,communitys
community,communty
communal,communual
CompAir,compair
compare,compair
compared,compaired
comparison,compairison
comparable,compareable
comparison,comparision
comparative,comparitive
comparatively,comparitively
comparison,comparsion
compatibilities,compatabilities
compatibility,compatability
compatible,compatable
compatibilities,compatablities
compatibility,compatablity
compatibilities,compatiblities
compatibility,compatiblity
compete,compeet
competing,compeeting
competence,competance
competent,competant
competitive,competative
competition,competion
completion,competion
competing,competiting
competition,competiton
competitive,competive
completive,competive
competitively,competively
competitor,competor
completor,competor
comprehensive,comphrehensive
compile,compilate
competent,compitent
complainant,complaintant
completely,completly
compiler,complier
compromise,comprimise
compromise,comprimize
compromise,compromize
computation,compution
camaraderie,comradarie
camaraderie,comraderie
community,comunity
combined,conbined
consecutive,concecutive
consensus,concensus
coincide,concide
consider,concider
considered,concidered
considers,conciders
conscience,concience
conscientious,concientious
conceive,concieve
conscious,concious
consciously,conciously
consciousness,conciousness
concrete,conctete
concrete,conctrete
concurrent,concurent
concurring,concuring
concur,concurr
conclusion,concusion
concussion,concusion
condemn,condem
condemned,condemed
condemn,condemm
condemned,condemmed
condition,condidtion
conditions,condidtions
conductor,conducter
conducive,condusive
conductive,condusive
connection,conection
conference,conferance
conferred,confered
confer,conferr
confidence,confidance
confidential,confidental
confidentially,confidentally
conference,confrence
confirm,confrim
congratulate,congradulate
congratulations,congradulations
congressional,congresional
connived,conived
conjecture,conjecutre
conjure,conjour
Connecticut,Conneticut
connote,connotate
conqueror,conquerer
conquerors,conquerers
consecrate,consacrate
consent,conscent
consider,consdider
considered,consdidered
consecutive,consective
consul,consel
counsel,consel
concentrate,consentrate
concentrated,consentrated
concentrates,consentrates
concept,consept
concern,consern
concerned,conserned
concerning,conserning
conserve,conservate
conservative,conservitive
concession,consession
considered,considerated
considered,considerd
consistency,consistancy
consistent,consistant
consistently,consistantly
constituencies,consituencies
constituency,consituency
constitution,consitution
constitutional,consitutional
consolidate,consolodate
consolidated,consolodated
consonant,consonent
consonants,consonents
consortium,consorcium
conspicuous,conspicious
consequently,consquently
constraints,constaints
constantly,constanly
constant,constatn
constituent,constituant
constituents,constituants
constitution,constituion
constitutional,constituional
construction,constuction
consummate,consumate
consummated,consumated
contagious,contageous
contaminate,contaiminate
contains,containes
contemporaries,contamporaries
contemporary,contamporary
contemporaneous,contemporaneus
contemporary,contempory
contention,contension
contestant,contestent
contingent,contigent
continuous,continious
continued,continiued
continuous,continous
continuously,continously
continuing,continueing
continuum,continum
continuous,continuos
continuity,continuty
continuous,contious
controlled,contolled
contractor,contracter
controversial,contravercial
controversial,contraversial
controversy,contraversy
contributor,contributer
contributors,contributers
contributory,contributery
controlled,controled
controller,controler
controlling,controling
control,controll
controls,controlls
controversial,controvercial
controversy,controvercy
controversies,controveries
controversy,controversey
controversial,controvertial
controversy,controvery
convenient,conveinent
covenant,convenant
convenient,conveniant
conventional,convential
conventionally,conventionaly
Coventry,Conventry
convergence,convergance
convergent,convergant
converse,conversate
conversely,conversley
conversely,conversly
convertible,convertable
conversion,convertion
conventional,convetional
convenient,convienient
convenient,convinient
coolly,cooly
coordination,coordiantion
cooperation,coorperation
corporation,coorperation
corporation,coporation
correspond,corespond
corrode,corode
coronavirus,corona-virus
corrosion,corosion
corporate,corparate
corporation,corparation
corporate,corperate
corporation,corperation
corollary,correlary
corresponding,correponding
corresponding,correposding
correspondence,correspondance
correspondent,correspondet
correspond,corrispond
correspondent,corrispondant
correspondents,corrispondants
corresponding,corrisponding
corresponded,corrisponded
corresponds,corrisponds
constitution,costitution
could,coudl
cloud,coudl
counseling,counceling
counselling,counceling
counseling,councelling
counselling,councelling
contain,countain
courier,coururier
couturier,coururier
converted,coverted
covered,coverted
coveted,coverted
kowtow,cowtow
coy,cpoy
copy,cpoy
craftily,craftly
created,creaeted
crescent,cresent
criminal,crimnal
christened,cristened
critical,critcal
criterion,critereon
critically,criticaly
critics,criticists
criticise,critiscise
criticism,critiscism
criticize,critiscize
criticise,critise
criticize,critise
criticise,critisise
criticize,critisise
criticism,critisism
criticise,critisize
criticize,critisize
criticise,critize
criticize,critize
crowd,crowed
crowded,crowed
crowed,crowed
crucifixion,crucifiction
cruises,crusies
cried,cryed
cause,cuase
culminating,culiminating
cutlery,cultery
cumulative,cumulatative
church,curch
current,curent
curiosity,curiousity
curassow,currasow
currently,currenly
currently,curretly
current,currrent
can,cxan
cyan,cxan
deal,dael
dial,dael
dahl,dael
Dalmatian,Dalmation
damaging,damageing
damage,dammage
dancing,danceing
dangerous,dangerious
dachshund,daschund
daughter,daugher
daughter,daugter
daughter,daugther
demeanor,damenor
Dardanelles,Dardenelles
December,Dcember
deactivate,deactive
inactive,deactive
dealt,dealed
deem,deam
dream,deam
debatable,debateable
debut,debute
decadence,decadance
decadent,decadant
decathlon,decathalon
December,Decemeber
December,Decemer
descend,decend
descendant,decendant
descendant,decendent
descendent,decendent
discern,decern
decidable,decideable
decidedly,decidely
decidedly,decidly
deceive,decieve
December,Decmeber
decompose,decomposit
decomposed,decomposited
decomposing,decompositing
decomposes,decomposits
decrepit,decrepid
describe,decribe
describing,decribing
decipher,decypher
deciphered,decyphered
deficit,defecit
defensive,defencive
defendant,defendent
defender,defendor
define,deffine
defined,deffined
definite,deffinite
definition,deffinition
defiance,definance
definite,definate
definitely,definately
definitely,definatly
definitely,definetly
definite,definit
definitely,definitley
definitely,definitly
definition,definiton
definition,defintion
defunct,defuncted
degradation,degredation
degrees,degress
deities,deites
delegate,delagate
dilapidate,delapidate
Delhi,delhi
December,Demcember
demeanor,demenor
diminish,deminish
denigrating,denegrating
dependency,dependancy
dram,deram
dream,deram
derived,derivated
derived,deriviated
derivative,deriviative
derogatory,derogitory
decision,descision
decisions,descisions
discuss,descuss
disease,desease
descend,desend
design,desgin
designate,desginate
designed,desgined
decide,deside
designs,designes
dissemination,desimination
designed,desinged
designer,desinger
disintegrated,desintegrated
disintegration,desintegration
desirable,desireable
desirable,desirible
dissolution,desolution
dissolve,desolve
desperate,desparate
disparate,desparate
desperately,desparately
disparately,desparately
desperation,desparation
desperation,despiration
describe,desribe
desiccated,dessicated
desiccation,dessication
designed,dessigned
distinct,destinct
distinction,destinction
destroy,destory
destroyer,destoryer
detachment,detachement
detailed,detailled
detach,detatch
detached,detatched
detachment,detatchment
detector,detecter
deterrence,deterance
deterrent,deterant
deterrence,deterence
deterrent,deterent
deterioration,deteriation
determining,determing
determining,determinining
deterrence,deterrance
deterrent,deterrant
detriment,detrement
detrimental,detremental
Detroit,Detriot
develop,develope
development,developement
development,developemet
developed,developped
developer,developper
develop,develp
devastate,devestate
devastation,devestation
divide,devide
division,devision
devastate,devistate
devastation,devistation
development,devolopement
development,devolopment
developed,devolopped
dyad,diad
dyadic,diadic
dilate,dialate
dilation,dialation
dialog,dialouge
dialogue,dialouge
disaster,diaster
disciple,diciple
decision,dicision
discover,dicover
discovered,dicovered
discovering,dicovering
discovery,dicovery
discuss,dicuss
discussion,dicussion
idea,diea
die,diea
dying,dieing
dyeing,dieing
diesel,diesal
deities,dieties
deity,diety
difference,diference
different,diferent
different,diferrent
different,differant
different,differnt
different,diffrent
difficult,dificult
difficulties,dificulties
difficulty,dificulty
dug,digged
digitally,digitaly
dignitary,dignatary
dilettante,dilletante
diligence,dilligence
diligent,dilligent
dilute,dillute
dimension,dimenion
dimension,dimention
dimensional,dimentional
diminution,diminuation
diminutive,diminuative
diminution,diminuition
diminutive,diminuitive
diminished,dimished
diminishes,dimishes
diminutive,dimunitive
dynasty,dinasty
diphthong,diphtong
diphthongs,diphtongs
display,diplay
displayed,diplayed
diphtheria,diptheria
diphthong,dipthong
diphthongs,dipthongs
directly,direcly
director,directer
direction,directon
derived,dirived
disabilities,disabilites
disappear,disapear
disappoint,disapoint
disappointment,disapointment
disappearance,disappearence
disapproval,disaproval
disapprove,disaprove
disastrous,disasterous
dissatisfaction,disatisfaction
dissatisfied,disatisfied
discovery,discoverey
discrepancy,discrepency
describe,discribe
described,discribed
describes,discribes
describing,discribing
description,discription
distinction,disctinction
distinctive,disctinctive
bisect,disect
dissect,disect
bisection,disection
dissection,disection
dissemination,disemination
disenchanted,disenchanged
dysfunctional,disfunctional
disobedience,disobediance
disobedient,disobediant
dissolution,disolution
dissolve,disolve
despair,dispair
despairingly,disparingly
disparagingly,disparingly
dispense,dispence
dispensed,dispenced
dispensing,dispencing
dispensary,dispensery
desperate,disperate
disparate,disperate
despicable,dispicable
despite,dispite
disputandum,disputandem
disagreement,dissagreement
disappear,dissapear
disappearance,dissapearance
disappeared,dissapeared
disappearing,dissapearing
disappoint,dissapoint
disappointed,dissapointed
disappointment,dissapointment
disappear,dissappear
disappears,dissappears
disappointed,dissappointed
disappointment,dissappointment
disarray,dissarray
disobedience,dissobediance
disobedient,dissobediant
disobedience,dissobedience
disobedient,dissobedient
dissolved,dissoluted
distinct,distict
district,distict
distinction,distiction
distillation,distilation
distinguish,distingish
distinguished,distingished
distinguishes,distingishes
disturb,distirb
dystopia,distopia
destroy,distroy
disturb,distrub
disturbed,distrubed
destruction,distruction
destructive,distructive
diverse,diversed
diverged,diversed
device,divice
divided,dividied
divination,divinition
devised,divised
divided,divised
division,divison
divisions,divisons
document,doccument
documented,doccumented
doctoral,doctorial
documentary,documentery
documentary,documentry
did,doed
does,doens
doing,doign
dominant,dominent
dominant,dominiant
done,doned
donned,doned
doing,donig
doppelgänger,doppleganger
dormant,dorment
daub,doub
doubt,doub
dozen,dozend
draftsman,draftman
dramatic,dramtic
draughtsman,draughtman
Dravidian,Dravadian
drawn,drawed
drew,drawed
dreams,dreasm
directly,driectly
drank,drinked
derived,drived
driven,drived
drove,drived
drink,drnik
dropped,droped
during,druing
drummed,drumed
drummer,drumer
drumming,druming
drums,drumms
dried,dryed
daughter,duaghter
duly,duely
dug,dugged
dukedom,dukeship
during,durring
dryas,dyas
each,eached
reached,eached
earlier,ealier
earliest,ealiest
earlier,eariler
earing,earing
earning,earing
earring,earing
earlier,earler
early,eary
easily,easiliy
early,easly
easily,easly
easternmost,eastermost
ate,eated
eaten,eated
excessive,eccessive
eclectic,ecclectic
ecclesiastic,ecclesiatic
ecclesiastical,ecclesiatical
ecclesiastical,ecclestiastical
deciduous,ecidious
eclectic,eclectric
eclipse,eclispe
economic,ecomonic
economy,ecomony
economic,econoımic
economic,econoimic
ecstasy,ecstacy
editor,editior
edition,edtion
education,eduction
eduction,eduction
educational,eductional
eked,eeked
eking,eeking
ekes,eeks
eerily,eeriely
eeriness,eerieness
efficiency,effeciency
efficient,effecient
efficiency,efficency
efficient,efficent
effluence,effulence
effort,efford
afford,efford
efforts,effords
affords,effords
eight,eigth
eighth,eigth
elaborate,elaborite
eclectic,electic
electric,electic
election,electon
electron,electon
electoral,electorial
electrical,electrial
electrically,electricly
electricity,electricty
elementary,elemantary
eliminated,eleminated
eliminating,eleminating
eels,eles
electronic,eletronic
